track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
0QoaFLmBJyuVuzOIGy6iCS,229738,78,0.827,0.0529,0.677,0.0,0.402,-6.342,0.072,91.985,4,0
6QhJehkqhGzyjkffCipnnZ,222727,70,0.658,0.511,0.654,1.66e-06,0.552,-4.344,0.0853,165.018,4,0
1llaUCfG1g5WzKt6JafYyk,231375,81,0.689,0.623,0.577,0.00653,0.197,-5.029,0.0482,160.025,3,0
1xgWArLVFD1AKsLzftZYc2,196832,82,0.76,0.0812,0.711,0.0,0.0921,-6.966,0.0646,128.134,3,0
7xJ1scIZpc33lZ7HpcrjCY,245500,82,0.618,0.17,0.662,0.0,0.316,-6.081,0.151,150.118,3,0
4oowI6IgJp9oqUnJewTp6Y,224210,82,0.911,0.135,0.761,3.48e-05,0.163,-6.712,0.0507,124.983,4,0
758S4LdiMkRdauciXJI1v7,150000,78,0.83,0.317,0.785,0.0,0.0407,-5.895,0.0378,92.017,4,0
71bGl0FoaBGHNT0CGhVOs1,183253,82,0.701,0.105,0.564,0.0,0.185,-6.965,0.0375,143.998,3,0
05eWLa61PMRibhFtIHsD0D,198354,80,0.896,0.562,0.754,0.0,0.102,-7.972,0.0323,109.958,4,0
3WOhcATHxK2SLNeP5W3v1v,143330,82,0.776,0.0146,0.667,0.3,0.0761,-6.622,0.0983,130.019,4,0
5zjS49hh8KF7mnbvgUtiJa,234600,63,0.692,0.00877,0.794,0.121,0.242,-6.669,0.0278,131.996,4,0
57L5EYzCfHS7Jd58rV33lW,190074,69,0.61,0.318,0.682,0.0,0.321,-4.877,0.123,142.966,4,0
4ZgNkauy7LD2e4Fl1k26lb,129557,54,0.871,0.296,0.577,0.0,0.171,-5.817,0.0499,112.942,4,0
5yxtr4bxgYePGbACS82nrq,114437,52,0.824,0.00271,0.552,0.744,0.097,-9.363,0.198,151.09,4,0
5NuUKKMA2qsltM1DnSJZLL,238493,61,0.681,0.763,0.409,2.8e-06,0.0823,-10.48,0.0283,129.982,4,0
2ZAEbGGj1yXJRCoVaEn16K,173361,65,0.39,0.236,0.565,0.0,0.127,-5.575,0.0457,133.85,3,0
